2024-03-14 23:39:03,639 INFO    MainThread:39628 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-03-14 23:39:03,640 INFO    MainThread:39628 [wandb_setup.py:_flush():76] Configure stats pid to 39628
2024-03-14 23:39:03,640 INFO    MainThread:39628 [wandb_setup.py:_flush():76] Loading settings from C:\Users\ALIENWARE\.config\wandb\settings
2024-03-14 23:39:03,640 INFO    MainThread:39628 [wandb_setup.py:_flush():76] Loading settings from C:\Users\ALIENWARE\Desktop\transformer\nanoGPT\wandb\settings
2024-03-14 23:39:03,640 INFO    MainThread:39628 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-14 23:39:03,640 INFO    MainThread:39628 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': 'C:\\Users\\ALIENWARE\\Desktop\\transformer\\nanoGPT\\train.py', 'program': 'C:\\Users\\ALIENWARE\\Desktop\\transformer\\nanoGPT\\train.py'}
2024-03-14 23:39:03,640 INFO    MainThread:39628 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-03-14 23:39:03,640 INFO    MainThread:39628 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-03-14 23:39:03,640 INFO    MainThread:39628 [wandb_init.py:_log_setup():526] Logging user logs to C:\Users\ALIENWARE\Desktop\transformer\nanoGPT\wandb\run-20240314_233903-o16fyks2\logs\debug.log
2024-03-14 23:39:03,640 INFO    MainThread:39628 [wandb_init.py:_log_setup():527] Logging internal logs to C:\Users\ALIENWARE\Desktop\transformer\nanoGPT\wandb\run-20240314_233903-o16fyks2\logs\debug-internal.log
2024-03-14 23:39:03,640 INFO    MainThread:39628 [wandb_init.py:init():566] calling init triggers
2024-03-14 23:39:03,640 INFO    MainThread:39628 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'out_dir': 'out-shakespeare-char-lora', 'eval_interval': 250, 'log_interval': 10, 'eval_iters': 200, 'eval_only': False, 'always_save_checkpoint': False, 'init_from': 'scratch', 'wandb_log': True, 'wandb_project': 'thrGPT', 'wandb_run_name': 'mini-gpt-lora', 'wandb_api_key': '82ad31ab803ed9208f4c6fdeb76aed77c26c07c1', 'dataset': 'shakespeare_char', 'gradient_accumulation_steps': 1, 'batch_size': 64, 'block_size': 256, 'n_layer': 6, 'n_head': 6, 'n_embd': 384, 'dropout': 0.2, 'bias': False, 'learning_rate': 0.001, 'max_iters': 5000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'grad_clip': 1.0, 'decay_lr': True, 'warmup_iters': 100, 'lr_decay_iters': 5000, 'min_lr': 0.0001, 'backend': 'nccl', 'device': 'cuda', 'dtype': 'bfloat16', 'compile': False}
2024-03-14 23:39:03,640 INFO    MainThread:39628 [wandb_init.py:init():616] starting backend
2024-03-14 23:39:03,640 INFO    MainThread:39628 [wandb_init.py:init():620] setting up manager
2024-03-14 23:39:03,642 INFO    MainThread:39628 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-03-14 23:39:03,643 INFO    MainThread:39628 [wandb_init.py:init():628] backend started and connected
2024-03-14 23:39:03,646 INFO    MainThread:39628 [wandb_init.py:init():720] updated telemetry
2024-03-14 23:39:03,678 INFO    MainThread:39628 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-14 23:39:05,525 INFO    MainThread:39628 [wandb_run.py:_on_init():2262] communicating current version
2024-03-14 23:39:06,414 INFO    MainThread:39628 [wandb_run.py:_on_init():2271] got version response 
2024-03-14 23:39:06,414 INFO    MainThread:39628 [wandb_init.py:init():804] starting run threads in backend
2024-03-14 23:39:12,153 INFO    MainThread:39628 [wandb_run.py:_console_start():2241] atexit reg
2024-03-14 23:39:12,153 INFO    MainThread:39628 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-14 23:39:12,153 INFO    MainThread:39628 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-14 23:39:12,153 INFO    MainThread:39628 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-14 23:39:12,153 INFO    MainThread:39628 [wandb_init.py:init():847] run started, returning control to user process
2024-03-14 23:50:46,691 WARNING MsgRouterThr:39628 [router.py:message_loop():77] message_loop has been closed
